080058	???
080045	???? (maybe Xylogics, but they claim not to know this number)
00081C	@pos.com
000604	@Track Communications, Inc.
30F33A	+plugg srl
700258	01DB-METRAVIB
C49313	100fio networks technology llc
080024	10NET COMMUNICATIONS/DCA
000B10	11wave Technonlogy Co.,Ltd
A85EE4	12Sided Technology, LLC
005029	1394 PRINTER WORKING GROUP
00A02D	1394 Trade Association
001974	16063
78A7EB	1more
003070	1Net Corporation
54369B	1Verge Internet Technology (Beijing) Co., Ltd.
443719	2 Save Energy Ltd
0011B2	2001 Technology Inc.
0025C3	21168
EC9681	2276427 Ontario Inc
6A737D	25g Ethernet Consortium
001387	27M Technologies AB
000761	29530
28F358	2C - Trifonov & Co
3C3F51	2crsi
0016A9	2ei
B8B7D7	2GIG Technologies
001B8A	2M Electronic A/S
001929	2M2B Montadora de Maquinas Bahia Brasil LTDA
7C1EB3	2N TELEKOMUNIKACE a.s.
001199	2wcom Systems GmbH
DC7FA4	2Wire Inc
00183F	2Wire Inc
001288	2Wire Inc
F81897	2Wire Inc
0019E4	2Wire Inc
001495	2Wire Inc
F82C18	2Wire Inc
001B5B	2Wire Inc
000D72	2Wire Inc
14EDBB	2Wire Inc
001FB3	2Wire Inc
00D09E	2Wire Inc
001EC7	2Wire Inc
00253C	2Wire Inc
60C397	2Wire Inc
001AC4	2Wire Inc
002650	2Wire Inc
60FE20	2Wire Inc
00217C	2Wire Inc
0022A4	2Wire Inc
640F28	2Wire Inc
001D5A	2Wire Inc
002351	2Wire Inc
749DDC	2Wire Inc
3CEA4F	2Wire Inc
B8E625	2Wire Inc
002456	2Wire Inc
34EF44	2Wire Inc
982CBE	2Wire Inc
28162E	2Wire Inc
B0E754	2Wire Inc
383BC8	2Wire Inc
94C150	2Wire Inc
C0830A	2Wire Inc
000FA2	2xWireless
000476	3 Com Corporation
000475	3 Com Corporation
0022F0	3 Greens Aviation Limited
001840	3 Phoenix, Inc.
001C6C	30805
E4BAD9	360 Fly Inc.
000556	360 Systems
000E60	360SUN Digital Broadband Corporation
B06CBF	3ality Digital Systems GmbH
2C029F	3alogics
000F05	3B SYSTEM INC.
1C7E51	3bumen.com
002085	3Com
00104B	3Com
026060	3com
3C0000	3Com
00105A	3Com
00A024	3com
009004	3com
00029C	3com
02608C	3Com
005004	3com
080002	3Com
006097	3com
006008	3Com
00608C	3Com (1990 onwards)
0020AF	3COM Corporation
002654	3Com Corporation
00068C	3COM CORPORATION
00D0D8	3Com Corporation
0050DA	3COM CORPORATION
000103	3COM CORPORATION
02C08C	3COM CORPORATION
000A5E	3COM Corporation
20FDF1	3COM EUROPE LTD
002257	3COM EUROPE LTD
4001C6	3COM EUROPE LTD
001EC1	3COM EUROPE LTD
002473	3COM EUROPE LTD
00040B	3COM EUROPE LTD.
00301E	3COM EUROPE LTD.
00051A	3COM EUROPE LTD.
00D096	3COM EUROPE LTD.
005099	3COM EUROPE, LTD.
0040B4	3COM K.K.
000D54	3Com Ltd
001CC5	3Com Ltd
000BAC	3Com Ltd
00147C	3Com Ltd
0016E0	3Com Ltd
000A04	3Com Ltd
000FCB	3Com Ltd
001AC1	3Com Ltd
000E6A	3Com Ltd
00186E	3Com Ltd
0012A9	3Com Ltd
00603D	3cx
BC25F0	3D Display Technologies Co., Ltd.
8C4B59	3D Imaging & Simulations Corp
C0A364	3D Systems Massachusetts
0021C5	3DSP Corp
0007D5	3e Technologies Int;., Inc.
00A0B5	3H TECHNOLOGY
CCF538	3isysnetworks
0009B5	3J Tech. Co., Ltd.
0016A1	3Leaf Networks
000649	3M
0015C2	3M
080021	3M
3863F6	3NOD MULTIMEDIA(SHENZHEN)CO.,LTD
00226F	3onedata Technology Co. Ltd.
0002AC	3PAR data
5C56ED	3pleplay Electronics Private Limited
0017A1	3soft inc.
0008DE	3UP Systems
70E139	3view Ltd
00050E	3ware, Inc.
001A8E	3Way Networks Ltd
0013CF	4Access Communications
000E56	4G Systems GmbH & Co. KG
001FD4	4IPNET, INC.
00187B	4NSYS Co. Ltd.
0011C1	4P MOBILE DATA PROCESSING
0022B2	4RF Communications Ltd
D4BD1E	5vt Tech, Taiwan Ltd
00114E	690885 Ontario Inc.
ACEE3B	6harmonics Inc
0009C0	6wind
00142E	77 Elektronika Kft.
38D7CA	7hugs Labs
04848A	7INOVA TECHNOLOGY LIMITED
B89919	7signal Solutions, Inc
00184F	8 Ways Technology Corp.
0011ED	802 Global
001BE5	802automation Limited
002282	8086 Consultancy
E417D8	8BITDO TECHNOLOGY HK LIMITED
182B05	8D Technologies
C49300	8devices
7C1A03	8Locations Co., Ltd.
0090A0	8X8 INC.
701D08	99iot Shenzhen Co, Ltd
B8E779	9Solutions Oy
001B7C	A & R Cambridge
001534	A Beltrónica-Companhia de Comunicações, Lda
000539	A Brand New World in Sweden AB
004008	A PLUS INFO CORPORATION
001566	A-First Technology Co., Ltd.
001A40	A-FOUR TECH CO., LTD.
000FCA	A-JIN TECHLINE CO, LTD
0005C1	A-Kyung Motion, Inc.
001A9F	A-Link Ltd
00267D	A-Max Technology Macao Commercial Offshore Company Limited
000382	A-One Co., Ltd.
00213F	A-Team Technology Ltd.
001667	A-TEC Subsystem INC.
00E0FD	A-TREND TECHNOLOGY CO., LTD.
001FD8	A-TRUST COMPUTER CORPORATION
0007A7	A-Z Inc.
ECFC55	A. Eberle GmbH & Co. KG
08184C	A. S. Thomas, Inc.
00156E	A. W. Communication Systems Ltd
3806B4	A.D.C. GmbH
002506	A.I. ANTITACCHEGGIO ITALIA SRL
C47DFE	A.N. Solutions GmbH
0C8411	A.O. Smith Water Products
00E079	A.T.N.R.
080059	A/S MYCRON
00091F	A&D Co., Ltd.
8C53F7	A&D ENGINEERING CO., LTD.
C03580	A&R TECH
40040C	A&T
94DD3F	A+V Link Technologies, Corp.
48BCA6	â€‹Asung Techno Co, Ltd
